,title,category
0,문 대통령  한류가 거대한 파도 돼  K 붐  만들고 있다 ,Politics
1,문 대통령  K 박람회 현장 방문 한류 관계자 격려,Politics
2, 온  한류축제 에 모인 K 콘텐츠  대통령도  엄지 척 ,Politics
3,문 대통령  K 박람회 찾아 한류 동반성장 지원 약속,Politics
4,국민의힘  애매한 입장의 이재명  조건부 특검으로 시간벌기 ,Politics
5, 단독  이재명 측  김만배 남욱 수사 끝나는   일 이후 특검 논의 ,Politics
6,      조건부 특검 으로 시간 벌기 특검 즉각 구성해야 ,Politics
7,   대장동 특검  도 조사해야     여러 말 말고 당장 하자 ,Politics
8,윤석열 방명록 논란     똑바로 의미  vs    오월정신 모독 ,Politics
9, 반듯이  논란  오월 정신 모독  vs  똑바로의 의미 ,Politics
10,윤석열  반듯이  논란   개월 전  홍영표도  반듯이  적었다,Politics
11,이재명 측  윤석열  반듯이 에  한글 모르나      똑바로  의미 ,Politics
12,송영길  이재명 특검 수용 발언    철저한 수사 강조한 것 ,Politics
13,대장동 특검 선 그은 송영길  철저한 검찰 수사 다시 한번 강조 ,Politics
14,송영길  윤석열  통합의 정치 는 자기모순 보복에 의존하며 정권교체 주장 ,Politics
15,송영길  이재명 특검 수용은 철저한 검찰 수사 강조 취지 ,Politics
16,KF     인니 분담금 미납금     억원 협상 타결     현물 납부 등 최종 합의,Politics
17,위기에 놓인  KF    반쪽협상  양낙규의 Defence Club ,Politics
18,  신임 경제수석에 박원주  특허청장,Politics
19,박원주  문 대통령 임기말  공급망 대란  구원투수로,Politics
20,이준석  윤석열에 건넨 비단주머니  신문지 뭉치였다    진짜  보물  따로 있어,Politics
21, 댓글조작  킹크랩  잡는다  이준석 비단주머니  탄은  크라켄 ,Politics
22,   억 퇴직금  곽상도 의원직 상실   화천대유와 무관  결백주장,Politics
23, 의원직 상실  곽상도  아들 성과급 송구  저는 화천대유와 무관 ,Politics
24,윤석열  노무현 묘역 참배    기득권 타파로 국민 통합 ,Politics
25,봉하마을 찾은 윤석열  소탈한 노무현 정신 잘 배울 것 ,Politics
26,개그맨 강성범  윤석열 대통령 되면 이 나라 박살날 것 ,Politics
27, 수다맨  강성범  윤석열 이 양반이 이기면 나라 박살날 것 ,Politics
28,청년 키워드 파고든 이재명  가상자산은 혁명  시장활성화 공감,Politics
29, 청년 가상자산 투자 의견 청취 나선 이재명 뉴시스Pic ,Politics
30,선대위 놓고  캠프 vs 김종인 진통,Politics
31,    들어오고     밀려난다  윤석열 선대위 구성 신경전,Politics
32,윤석열       vs  이재명        오차범위 밖 역전,Politics
33,다자대결 지지도             경제 정책               NBS ,Politics
34, 여성의 삶에 공감 못한 아재후보  류호정  이재명 윤석열 혹평,Politics
35,정의당  이재명 윤석열에  반페미니즘 기수   아재 후보 ,Politics
36,강제 게임 셧다운제   년만에 폐지    일 오후 본회의 의결,Politics
37,청소년 심야 게임 금지 제도   년 만에 폐지,Politics
38,김종인  허수아비하러 선대위 안 간다    향해 중진 물갈이 요구,Politics
39,김종인  윤석열  과거 정치인들에 둘러싸여 있으면 안돼 ,Politics
40, 청와대   대통령의 난   ,Politics
41, 청와대    문대통령은 왜 그렇게 북한에 집착합니까 ,Politics
42, 청와대  현직 정무수석  저격 한    비서관 이철희 어떤 표현이,Politics
43, 청와대     비서실장  개월째 유영민  참모들이 보이기 시작했다,Politics
44, 제  테슬라  리비안 돌풍 현대 기아 합산 시총의  배 육박,Economic
45,테슬라 대항마  리비안   상장하자마자 포드 시가총액 제쳐,Economic
46,뉴욕증시 덮친  리비안 열풍  GM 포드 시총 제쳤다 종합 ,Economic
47,전기차    대 만든 리비안  상장 첫날 GM 시총과 똑같아졌다,Economic
48,    기술보호 두텁게  공정위  기술자료 심사지침 개정,Economic
49,대기업 탈취 방지 소기업  보호 대상  기술자료 범위 확대,Economic
50,기술자료 서면 제공시기  자료  요구시  기준으로 개정,Economic
51,기술자료 범위 확대 예시 추가 중소기업 기술 보호 강화,Economic
52,  일부터 휘발유    원 내린다,Economic
53,오늘부터 유류세     인하 휘발유  당    원,Economic
54,내일 유류세     인하 휘발유 리터당    원  ,Economic
55,오늘부터 기름 값 내린다  직영 아닌 곳은  주일 뒤 본격 인하될 듯 ,Economic
56,  월 수입물가 전년대비         상승률   년만에 최대,Economic
57,유가 공급병목에 수출물가 전년비        수입물가도       ,Economic
58,코인원  연대 전략마케팅 학회와 산학협력 프로젝트,Economic
59,코인원  원화마켓 자격 획득 빗썸은 보류,Economic
60,버스 청소차 등 공공차량에 요소수   만  우선 공급,Economic
61,주유소에서 승용차    까지 정부가 요소수 유통 관리,Economic
62,기아       년 탄소중립  핵심 과제로 제시   EV  콘셉트카 공개,Economic
63, 기아      년부터 전기차만 판매     년 탄소제로 Biz   Now ,Economic
64,기재차관  카드 캐시백 규모    월 총      억원 내외 ,Economic
65,카드 캐시백   월동안     억원 발생    만명에   일부터 지급,Economic
66,국토부 서울시 합동 재건축 재개발조합 점검 법령 위반   건 적발,Economic
67,청담삼익 등  재개발 재건축  합동점검 법령위반   건 적발,Economic
68,토스증권  친구 초대하면 해외주식  주 선물 ,Economic
69,토스증권  해외주식  주 선물받기 이벤트 진행,Economic
70,KDI 올해 경제성장률      내년      전망,Economic
71,KDI  한국경제  올해    내년    성장   요소수 사태가 악재 ,Economic
72,뉴욕증시  인플레이션 경계 속 혼조 나스닥       마감,Economic
73,뉴욕증시  소비자물가 급등에 하락   테슬라   대 반등,Economic
74,중저가는 주춤  초고가는 더 올라   양극화 부추긴 대출규제   집슐랭 ,Economic
75,아파트 거래 절반  억 이하   규제가 서민 잡았다 집슐랭 ,Economic
76,국토부 장관도 못잡는 강남 집값   평당  억 도 가나 집슐랭 ,Economic
77,집값 급등  반의 반 도 반영 못했다   공인통계  예고된 오류 집슐랭 ,Economic
78, 익산 금괴 매장설 확인하려고  옛 일본인 농장 침입한   대 덜미,Social
79, 익산 시내 금괴  t  혹한   대 체포  호기심에  ,Social
80, 금괴 묻혔다고   익산 옛 일본인 농장 침입한   대 덜미,Social
81, 금괴가 묻혀 있다고   익산 옛 일본인 농장 침입한   대 체포,Social
82,코로나   백신 안전성위원회 오늘 출범  이상 반응 인과성 과학적 평가 ,Social
83, 백신 맞고  일반 입원  환자도 주요 이상 사례로 인정해야 ,Social
84, 전문가집단이 나선다  코로나  백신안정성위원회 오늘 발족,Social
85,코로나   백신 안전성위원회 오늘 출범   백신 이상반응 보상 확대,Social
86,경찰도 속수무책 택시 들이받고 도주한 차량의 정체는,Social
87,미 외교관 차량  서울 도심에서 뺑소니   경찰 조사 불응한 채 미군기지로,Social
88,택시 추돌 뒤 도주한 미국 외교관들 경찰 조사에 답변 거부,Social
89,주한 미국외교관  명  택시 접촉사고 후 도주 경찰 조사에서  무응답  일관,Social
90,진에어 서버 장애로 운항 차질 발 묶인 이용객들,Social
91,진에어 전산시스템 문제 탑승객 수속 예매 지연  해외 서버 문제 추정 ,Social
92,사진으로 읽는 하루   일 국내엔 무슨 일이 ,Social
93,진에어  전국 공항서 비행기  올스톱  전산시스템 장애 종합 ,Social
94,내일부터 네이버 카카오 앱으로  부스터샷  당일 예약 접종,Social
95,추가접종 간격 단축되나   단축 여부 다음주 발표 ,Social
96, 요소수 팝니다    경찰  사이버 사기 닷새간    건 적발,Social
97, 요소수 팝니다   품귀 현상 악용 온라인 판매사기 피의자 구속,Social
98,수목원정원관리원  한국서비스품질 우수기관 인증,Social
99,한국수목원정원관리원  한국서비스품질 우수기관 SQ  인증 획득,Social
100,경찰  내일 민주노총 노동자대회 집결 단계부터 원천 차단 ,Social
101,민주노총 대규모 집회  D              때 도심 마비 재현되나,Social
102, 영상  후진하던 트럭이 초등학생 덮쳐  운전자  명함만 주고 떠났다 ,Social
103, 후진하던 화물차에 깔린 조카 기어서 겨우 살았다   영상 ,Social
104, 속보  중대본  코로나   위중증 환자    명  최다 기록 경신 ,Social
105,중대본  위중증 환자    명 최고치     세 이상 확진자 늘어 ,Social
106, 깐부  맺고 출장 성매매 사이트   곳 운영 적발   경찰   문의 전화   만 건 추적,Social
107,출장 성매매 알선해온 업주  앞에선  성매매 시민감시단 ,Social
108,코로나   위중증 환자    명  또 역대 최다 신규확진     명 상보 ,Social
109,신규확진     명  사흘 연속     명대 위중증    명 코로나   ,Social
110, 일상회복  단계로 못 갈 수도  부스터샷 접종 후 국내 첫 사망 신고,Social
111, 정은경  일상회복  단계 전환 어려울수도      월 초가 고비 뉴스나이트 ,Social
112,서울시   안심소득  내년부터 지원 월소득    만  천 원 미달시 부족분     지급,Social
113, 기본소득 대항마  오세훈표  안심소득  증세 없이 차등 지원,Social
114,광주 서구 요양병원에서 집단감염   명 확진,Social
115,오후  시 부산 제외 전국     명 확진 전날 동시간   명  종합  ,Social
116,김만배 재소환 또 불발 곽상도 뇌물 조사 임박,Social
117, 문재인 저격수  곽상도  아들   억으로 물러서 사직안 가결,Social
118, 포커스  세계 덮친  물가 상승  공포 한은  높은 물가 지속 ,Social
119, 포커스   요소수 대란 은  마스크 대란  닮은꼴 ,Social
120, 포커스  쉴 곳 없는 소방관  회복지원차  전국에  대뿐 ,Social
121, 포커스  위드코로나  주일 확진자 위중증 늘었다,Social
122,    년 전 가야인 무덤에서 최고급 중국 청자그릇 출토,Culture
123,함안 아라가야 고분서  세기 중국 청자 발굴,Culture
124,가야 중심권역서 중국제 최고급 청자 나와    남조와 교류한 듯 ,Culture
125,함안 말이산 가야 고분군에서 연꽃문양 청자그릇 발굴,Culture
126, 초겨울 추위 계속  낮에도 쌀쌀   주말 낮부터 풀려 날씨 ,Culture
127, 낮에도 쌀쌀해 충청 남부 비 조금 날씨 ,Culture
128, 바람 불고 추워요 동해안 건조주의보 날씨 ,Culture
129, 서울 구름 한 점 없이 맑은 하늘 출근길 초겨울 추위 이어져 날씨 ,Culture
130,국보 금동 반가사유상  점  내일부터 상설 전시,Culture
131,    여년전 두 반가사유상 시간이 멎은 듯  사유의 방 ,Culture
132, 전북 내일까지 비 또는 눈  모레 아침까지 추워요 날씨 ,Culture
133,내일까지 가끔 비 눈 모레 아침까지 때 이른 추위 프레스룸 날씨 ,Culture
134,넷플릭스  위 탈환한  오징어 게임   무엇이 다른가 ,Culture
135, 오징어 게임 은 무엇이 다른가    일 정책토론회,Culture
136,한국타이어  업계 최초 친환경 국제인증  ISCC PLUS  획득,Culture
137, 겨울타이어   도 이하서 교체  미쉐린이 알려주는 타이어 관리법,Culture
138,세상에 단  대 뿐인 페라리    BR    공개,Culture
139,페라리  세상 단 하나뿐인  인승 V   쿠페  BR    공개,Culture
140,국립중앙박물관  이건희 회장 기증품 등록 조사 연구     년까지 완료 ,Culture
141,국립현대미술관   이건희 기증품  내년 말까지 등록절차 완료 ,Culture
142, 날씨톡톡  가을의 끝  겨울의 초입 곳곳 비 또는 눈,Culture
143, 날씨톡톡  첫눈은 언제나 설렘 추위 속 곳곳 비 눈,Culture
144, 날씨톡톡   가을은 끝난 건가요   초겨울 추위 속 곳곳 비 눈,Culture
145, 날씨톡톡  초겨울 추위 부르는 비 찬바람 쌩쌩,Culture
146, 유럽 인문학 기행  뱃놀이에서 탄생한  이상한 나라의 앨리스 ,Culture
147, 유럽 인문학 기행  다이애나 살았다면 켄싱턴 궁전에서 환갑연 열 나이인데,Culture
148, 유럽 인문학 기행  런던 타워에서 뒤바뀐 대영제국의 운명,Culture
149, 유럽 인문학 기행  대영박물관 엘긴 마블스  파르테논 신전에 언제 돌아가나,Culture
150,벨라루스 폴란드 난민 문제  미 러 갈등으로 비화하나,World
151,EU  난민 밀어내기  제재 경고에  벨라루스  유럽행 가스관 끊겠다  위협,World
152,벨라루스  제재 경고한 EU에  가스공급 차단  위협,World
153,벨라루스 난민 사태  러 EU 싸움 확대되나 폭격기까지 등장,World
154, 태양신 축제 에 독성거품으로 뒤덮인 강에 뛰어든 주민들,World
155, 인도에 눈이 내렸나  독성 거품 뒤덮인 강에서 태양신 축제 이 시각 ,World
156,눈 쌓인 인도 강   오염에 흰 거품으로 뒤덮여 ,World
157,흰 독성 거품 뒤덮인 강 알고도 인도인들이 몸 담그는 이유,World
158,신임  외무상  소통 가속  징용 위안부는  한국이 해결  종합 ,World
159, 신임 외무상  한일관계 방치 안돼 ,World
160,  신임 외무상   과 소통 강화 강제징용은 한국이 해결해야 ,World
161,정의용  일본 하야시 외무상에 취임 축하 서한,World
162,돈나무언니 캐시우드  테슬라 하락은  천달러 돌파 위한  보 후퇴 ,World
163, 주식 팔까   머스크  테슬라 지분   억 달러어치 매각,World
164,수십억원 가치 뱅크시 벽화    드라마 촬영 중 페인트로 쓱쓱,World
165, 얼굴 없는 화가  뱅크시의  해바라기     억 원에 낙찰,World
166,모더나 백신  심근염 발생 화이자의  배  돌파 감염은 적다 ,World
167,모더나 백신  심근염 발생 화이자의  배  돌파감염은 적다 ,World
168, 인도네시아서 불륜 남녀에 공개 태형 이 시각 세계 ,World
169,인니 아체주  간통 남녀에 또 공개 태형 회초리질   대,World
170,     년 만에 역사결의 채택  시진핑 사상   정신 정수 ,World
171,   대 지도자 반열 오른 시진핑  중국몽  향해 돌진 종합 ,World
172,셀트리온  렉키로나  사실상 유럽허가 첫 항체치료제 종합 ,World
173,유럽의약청 자문위  셀트리온 코로나   치료제  렉키로나  승인 권고 종합 ,World
174,영국  분기 성장률     로 둔화 공급망 차질로 타격,World
175,   분기 GDP  시장 예측보다 낮은      성장 그쳐,World
176,독일 신규 확진  만 명 하루 새  만 명 늘어 사상 최다,World
177,독일 신규 확진  만 명 넘었다 하루 만에  만 명 ,World
178,조종실 잠입  승무원에 퉤 진상승객에  항공청 보낸  폭탄 ,World
179,미 항공당국   진상 손님    명에  억    만원 벌금 부과,World
180, Newsmaker  Higher than expected inflation to continue for time being  says BOK chief,World
181, Newsmaker   Lee Kun hee Donation Hall  in Songhyeon dong to house all bequeathed works,World
182, Newsmaker   KH Explains  Korea s urea shortage crisis,World
183, Newsmaker  Moon urges all out efforts on urea shortages,World
184,디즈니플러스  오늘부터 스트리밍 시작,IT
185,디즈니  신규가입 급감    오징어 게임 이 직격탄,IT
186,  일 첫선보이는 디즈니플러스 LG유플  월  만원대 요금제 출시,IT
187,디즈니   오늘 국내 서비스 시작    오리지널 콘텐츠 라인업은 ,IT
188, 블소   부진 엔씨소프트   분기  어닝쇼크 ,IT
189, 메타버스 NFT 신성장 동력으로 자리잡을것  엔씨소프트  목표가     ,IT
190,  엔씨소프트  목표주가     대폭 상향  클릭 e종목 ,IT
191,엔씨소프트  리니지W가 받쳐준다 투자의견 목표가  한화,IT
192,생명   출연연 최초  코칭문화 확산 우수기관  선정,IT
193,앨리스와  코칭  탐험하기,IT
194,카이스트 학생 창업기업 엘리스  모교에  억원 발전기금 약정,IT
195,KAIST 학생 창업기업 엘리스  모교 발전기금  억 기탁,IT
196, 돈버는 게임 에 빠진 게임산업  향후 성과가 관건,IT
197,실적 반토막 엔씨도 벌떡  NFT 게임  게임체인저 되나,IT
198,디즈니  상륙에 국내 OTT 긴장  지원책 절실  호소,IT
199,웨이브 티빙 왓챠  OTT진흥법  빠른 통과 기본 지원 정책 절실 ,IT
200,크래프톤      년  분기 역대 최대 매출     억 기록,IT
201,크래프톤   분기 매출     억원 전년        ,IT
202, 가로수 정비하다 광케이블 절단  KT      복구 ,IT
203,영등포 구로 일대 KT 통신 장애      복구  서비스는 정상운영 ,IT
204,더 세게 뒤통수 맞기 전에 기술을 향한 맹목적 욕망에 저항하라  이광석의 디지털 이후      ,IT
205,화려한 불빛에 취한 시민들 도시의 여백이 사라져간다  이광석의 디지털 이후      ,IT
206,바이러스와 전쟁 속  방역 난민  급증 이제 사회적 백신이 필요하다  이광석의 디지털 이후      ,IT
207,크립토아트와 메타버스의 결합  또 다른  플랫폼 노동시장  양산  이광석의 디지털 이후      ,IT
208, 사이언스프리즘  기후변화 연구에서 주목해야 하는 가을,IT
209, 사이언스프리즘  AI와 미래 환경,IT
210, 사이언스프리즘  과학의 진보는 호기심에서 시작된다,IT
211, 사이언스프리즘  광합성과 차세대 청정에너지,IT
